8.55632,49.51958, McDonald's, D-Mannheim, Spreewaldallee 38-40 (Walmart),
7.32772,52.49751, McDonald's, D-Lingen, Zum Heidhof 22,
9.11567,49.33759, McDonald's, D-Mosbach, An Der B27,
8.63934,49.87149, McDonald's, D-Darmstadt, Rheinstr. 69,
9.86145,52.38093, McDonald's, D-Hannover, Kreisstr. 2,
12.10004,49.01456, McDonald's, D-Regensburg, Maximilianstr. 29,
11.24896,48.19431, McDonald's, D-Fürstenfeldbruck, Hasenheide 1a,
6.95389,51.43694, McDonald's, D-Mülheim/Ruhr, Humboldring 13,
13.46819,52.54688, McDonald's, D-Berlin, Hansastr. 1,
13.47665,52.5136, McDonald's, D-Berlin,,
6.72442,49.80469, McDonald's, D-Kenn,,
7.59937,52.09354, McDonald's, D-Greven, Alte Bahnhofstr. 9,
10.07708,50.18666, McDonald's, D-Bad Kissingen, Würzburgerstr. 2,
8.43439,50.00891, McDonald's, D-Raunheim, Im Walmart-Center,
10.18351,48.95655, McDonald's (McDrive), D-Ellwangen (Jagst),,
8.06994,52.2625, McDonald's, D-Osnabrück, Hannoversche Str. 45,
10.73458,53.70022, McDonald's, D-Ratzeburg, Am Rackerschlag,
6.21157,51.32775, McDonald's, D-Nettetal, An Der Landwehr 8,
10.88682,48.36634, McDonald's, D-Augsburg, Viktoriastr. 2,
6.44322,51.16619, McDonald's, D-Rheydt, Stresemannstr. 28-30 (Marienplatz),
13.36628,52.47581, McDonald's, D-Berlin,,
12.29137,51.32023, McDonald's, D-Leipzig,,
11.34303,49.38176, McDonald's, D-Altdorf, Prackenfelser Str. 14,
9.12082,53.90027, McDonald's, D-Brunsbüttel, Olof-Palme-Allee,
6.9223,49.42873, McDonald's, D-Lebach, Auf Dem Graben 8,
8.29407,50.48148, McDonald's, D-Weilburg, Viehweg 10,
12.39603,50.49396, McDonald's, D-Auerbach, Göltzschtalstr. 79,
6.87731,50.93788, McDonald's, D-Köln, Aachener Str. 752,
7.00183,51.05612, McDonald's, D-Leverkusen, Kölner Str. 189,
10.26286,48.45319, McDonald's, D-Günzburg, Ulmer Str.,
11.35904,47.76573, McDonald's, D-Penzberg, Seeshaupterstr. 56,
10.67289,53.88013, McDonald's, D-Lübeck, Bei Der Lohmühle 21b,
